id(int),desc(string),cameraPos(string)
1,是敌人，快跑  ,-1
2,来这里！！  ,-1
3,快进来！,-1
4,一路飞到这里了呢...|这里有点高，跳下去要你也许要摔死的吧。|看那座山上的光|好像我在哪里见过那种光|快，带我去那！,1|1|0|0
5,这下可以去教训那些家伙了|看...|前面还有刚才的光圈！,2|2|3
6,看那条河...|我想起来了，长老好像说过...|说过..|说过什么来着？|好像是收集三个...|三个啥才能过河...,4|4|4|4|4|4
7,对！|就是这个|收集三个河边的屏障就会解除！|这附近好像还有什么东西...,-1|-1|-1|-1
8,这里的符咒...|（使者是一个时空旅行者，他从新月启程，回到蛾眉月的的日子...）,-1|-1
9,这里的符咒...|（在蛾眉月的日子，使者遇见了老者，老者对使者说：“未来八天后，一样的蛾眉月的日子，你会找到答案...”）,-1|-1
10,这里的符咒...|（使者穿越之后，得到了指引，随着时间流逝，使者最终在满月找到了答案。）,-1|-1
11,这里的气息...小心啊,-1
12,现在还不能过河,-1
